src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
10.20.35.215,61620,39.156.54.66,80,6,39.156.54.66,HTTP
10.20.35.215,33336,61.128.114.133,53,17,checkappexec.microsoft.com,DNS.Microsoft
10.20.35.215,33335,61.128.114.133,53,17,doh.iqiyi.com,DNS.PPStream
10.20.35.215,33339,61.128.114.133,53,17,opportunarch.iqiyi.com,DNS.PPStream
10.20.35.215,61615,20.198.155.80,443,6,checkappexec.microsoft.com,TLS.Microsoft
10.20.35.215,61626,124.237.225.7,80,6,ip.geo.iqiyi.com,HTTP.PPStream
10.20.35.215,61631,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61619,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,1863,14.17.27.121,8001,17,,Unknown
10.20.35.215,61632,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61642,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61627,49.7.32.40,80,6,doh.iqiyi.com,HTTP.PPStream
10.20.35.215,61633,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61647,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61644,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61643,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61654,111.202.75.3,443,6,api-lequ.iqiyi.com,TLS.PPStream
10.20.35.215,61648,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61657,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,61664,49.7.33.51,80,6,data.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61649,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61662,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61666,43.225.85.245,80,6,api.afdback.ppsimg.com,HTTP
10.20.35.215,33334,116.211.202.136,11711,17,,Unknown
10.20.35.215,61667,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,61672,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61688,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,33337,218.195.192.73,53,17,time.video.iqiyi.com,DNS.PPStream
10.20.35.215,61683,116.211.198.237,80,6,116.211.198.237,HTTP
10.20.35.215,17339,116.211.199.185,16600,17,,Unknown
10.20.35.215,61676,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,61695,49.7.33.51,80,6,data6.video.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,119.6.229.222,19800,17,,Unknown
10.20.35.215,61675,103.44.59.75,443,6,time.video.iqiyi.com,TLS.PPStream
10.20.35.215,61702,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,183.220.193.50,18200,17,,Unknown
10.20.35.215,61684,39.156.54.66,80,6,39.156.54.66,HTTP
10.20.35.215,61707,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61703,119.84.78.42,80,6,policy.video.iqiyi.com,HTTP.PPStream
10.20.35.215,61693,119.84.52.243,443,6,static.iqiyi.com,TLS.PPStream
10.20.35.215,61616,124.237.225.14,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,0,123.126.128.22,0,1,,ICMP
10.20.35.215,61711,39.156.54.66,80,6,,HTTP
10.20.35.215,61696,36.110.238.54,80,6,msg.qy.net,HTTP.PPStream
10.20.35.215,33337,61.128.114.133,53,17,ip.geo.iqiyi.com,DNS.PPStream
10.20.35.215,61719,119.84.52.243,443,6,static.iqiyi.com,TLS.PPStream
10.20.35.215,61717,49.7.32.40,80,6,,HTTP
10.20.35.215,61698,49.7.33.13,443,6,act.vip.iqiyi.com,TLS.PPStream
10.20.35.215,61623,49.7.32.40,80,6,doh.iqiyi.com,HTTP.PPStream
10.20.35.215,61722,49.7.32.36,443,6,time.iqiyi.com,TLS.PPStream
10.20.35.215,61720,119.84.52.243,443,6,static.iqiyi.com,TLS.PPStream
10.20.35.215,61700,49.7.32.2,443,6,qiyu.iqiyi.com,TLS.PPStream
10.20.35.215,33338,218.195.192.73,53,17,iface2.iqiyi.com,DNS.PPStream
10.20.35.215,61628,49.7.32.40,80,6,49.7.32.40,HTTP
