,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
0,192.168.0.101,59368,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
1,192.168.0.101,53701,192.168.1.1,53,17,ins-mbckwsy9.ias.tencent-cloud.net,DNS
2,192.168.0.101,62079,36.155.249.30,443,6,,TLS.QQ
3,192.168.0.101,63481,192.168.1.1,53,17,pbaccess.video.qq.com,DNS.QQ
4,192.168.0.101,62084,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
5,192.168.0.101,61261,192.168.1.1,53,17,ins-pe24hspk.ias.tencent-cloud.net,DNS
6,192.168.0.100,12476,255.255.255.255,12476,17,,Unknown
7,192.168.0.101,62086,36.155.228.69,443,6,,TLS.QQ
8,192.168.0.101,62089,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
9,192.168.0.101,59367,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
10,192.168.0.101,49726,192.168.1.1,53,17,iacc.rec.qq.com,DNS.QQ
11,192.168.0.101,57206,192.168.1.1,53,17,oth.eve.mdt.qq.com,DNS.QQ
12,192.168.0.101,59377,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
13,192.168.0.101,62095,120.232.131.197,443,6,,TLS.QQ
14,192.168.0.101,60165,192.168.1.1,53,17,ios.rqd.qq.com,DNS.QQ
15,192.168.0.101,53915,192.168.1.1,53,17,h.trace.qq.com,DNS.QQ
16,192.168.0.101,62096,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
17,192.168.0.101,59383,120.204.207.186,443,6,,TLS
18,192.168.0.101,58496,192.168.1.1,53,17,v.qq.com.sched.px-dk.tdnsv6.com,DNS
19,192.168.0.101,51675,192.168.1.1,53,17,www.qq.com,DNS.QQ
20,192.168.0.101,59386,36.155.163.112,80,6,iacc.qq.com,HTTP.QQ
21,192.168.0.101,49750,192.168.1.1,53,17,rmonitor.qq.com,DNS.QQ
22,192.168.0.101,58296,192.168.1.1,53,17,ins-giuzhgwa.ias.tencent-cloud.net,DNS
23,192.168.0.101,62081,119.29.29.98,80,6,119.29.29.98,HTTP
24,192.168.0.101,65442,36.155.163.112,443,17,,QUIC
25,192.168.0.101,62085,183.194.237.220,443,6,disp-qryapi.3g.qq.com,TLS.QQ
26,192.168.0.101,65280,120.232.131.191,443,17,,QUIC
27,192.168.0.101,59379,183.247.246.229,443,6,rmonitor.qq.com,TLS.QQ
28,192.168.0.101,58316,192.168.1.1,53,17,ins-eeww7kom.ias.tencent-cloud.net,DNS
29,192.168.0.101,51350,192.168.1.1,53,17,v.qq.com,DNS.Tencentvideo
30,192.168.0.101,62103,36.155.163.112,443,6,,TLS.QQ
31,192.168.0.101,57530,192.168.1.1,53,17,v.qq.com,DNS.Tencentvideo
32,192.168.0.101,58069,36.155.205.219,443,17,iacc.qq.com,QUIC.QQ
33,192.168.0.101,64205,192.168.1.1,53,17,iacc.rec.qq.com,DNS.QQ
34,192.168.0.101,62104,120.241.130.240,443,6,,TLS.QQ
35,192.168.0.101,62091,223.109.114.182,443,6,v.qq.com,TLS.Tencentvideo
36,192.168.0.101,62106,113.108.81.190,80,6,p.l.qq.com,HTTP.QQ
37,192.168.0.101,64990,192.168.1.1,53,17,ins-mpekxqf9.ias.tencent-cloud.net,DNS
38,192.168.0.101,60316,192.168.1.1,53,17,xs.gdt.qq.com,DNS.QQ
39,192.168.0.101,59382,211.136.109.23,8080,6,,HTTP_Proxy
40,192.168.0.101,62026,192.168.1.1,53,17,xs.gdt.qq.com,DNS.QQ
41,192.168.0.101,62102,111.48.210.245,8081,6,,Unknown
42,192.168.0.101,62111,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
43,192.168.0.101,59385,36.155.163.112,80,6,iacc.qq.com,HTTP.QQ
44,192.168.0.101,52641,192.168.1.1,53,17,vmmp.qpic.cn,DNS
45,192.168.0.101,56045,192.168.1.1,53,17,ins-6l809l93.ias.tencent-cloud.net,DNS
46,192.168.0.101,53271,192.168.1.1,53,17,vmmp.qpic.cn,DNS
47,192.168.0.101,51300,192.168.1.1,53,17,tgwsc.qq.com,DNS.QQ
48,192.168.0.101,58521,192.168.1.1,53,17,pgdt.tc.qq.com,DNS.QQ
49,192.168.0.101,62105,120.232.131.191,443,6,,TLS.QQ
50,192.168.0.101,54156,192.168.1.1,53,17,apd-pcdnvodstat.teg.tencent-cloud.net,DNS
51,192.168.0.101,59390,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
52,192.168.0.101,59111,192.168.1.1,53,17,tips.video.qq.com,DNS.QQ
53,192.168.0.101,62110,182.254.63.19,443,6,xs.gdt.qq.com,TLS.QQ
54,192.168.0.101,56756,192.168.1.1,53,17,vmmp.qpic.cn.sched.legopic1-dk.tdnsv6.com,DNS
55,192.168.0.101,59060,192.168.1.1,53,17,pgdt.tc.qq.com,DNS.QQ
56,192.168.0.101,58426,36.131.201.74,443,17,tv.puui.qpic.cn,QUIC
57,192.168.0.101,59369,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
58,192.168.0.101,55745,192.168.1.1,53,17,tv.puui.qpic.cn,DNS
59,192.168.0.101,0,36.131.201.74,0,1,,ICMP
60,192.168.0.101,61064,192.168.1.1,53,17,guzzoni-apple-com.v.aaplimg.com,DNS.Apple
61,192.168.0.101,59373,36.155.189.20,80,6,,HTTP
62,192.168.0.101,62117,112.29.158.188,443,6,vmmp.qpic.cn,TLS
63,192.168.0.101,60896,192.168.1.1,53,17,ins-t0axqu61.ias.tencent-cloud.net,DNS
64,192.168.0.101,62070,17.57.145.133,5223,6,,TLS
65,192.168.0.101,59374,120.204.0.25,80,6,extshort.weixin.qq.com,HTTP.QQ
66,192.168.0.101,62118,223.113.137.181,80,6,pgdt.gtimg.cn,HTTP
67,192.168.0.101,50511,192.168.1.1,53,17,ins-ez3g70py.ias.tencent-cloud.net,DNS
68,192.168.0.101,59371,120.204.0.25,80,6,short.weixin.qq.com,HTTP.QQ
